repetition,repetition_seed,method,method_label,status,smoke_test,final_model_mse,paired_baseline_mse,improvement_percent,improved,total_fwi_update_count,candidate_fwi_update_evaluations,number_design_updates,runtime_fwi_seconds,runtime_design_seconds,runtime_total_seconds,rss_start_mb,peak_rss_mb,peak_rss_increase_mb,resumed_invocation,metadata_path,arrays_path
2,149505632,waveform_misfit,Waveform misfit,completed,False,2859.2314453125,3309.67529296875,13.60991057380151,True,100,100,5,,503.0469869459048,503.05402064230293,891.70703125,68536.09375,67644.38671875,False,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_002/waveform_misfit.json,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_002/waveform_misfit.npz
2,149505632,oracle,Oracle model error,completed,False,2559.2666015625,3309.67529296875,22.673181656232504,True,100,100,5,,479.0487206541002,479.0553860254586,977.0078125,66774.2265625,65797.21875,False,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_002/oracle.json,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_002/oracle.npz
3,441330971,baseline,Fixed receiver layout,completed,False,3353.474365234375,3353.474365234375,0.0,False,100,100,0,165.60125932563096,0.0,166.028394238092,994.17578125,2224.8671875,1230.69140625,False,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_003/baseline.json,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_003/baseline.npz
3,441330971,illumination,Stochastic illumination,completed,False,2794.445556640625,3353.474365234375,16.670138122695306,True,100,100,5,168.93352644518018,183.20858609024435,356.64932168927044,995.9921875,10982.80859375,9986.81640625,False,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_003/illumination.json,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_003/illumination.npz
3,441330971,waveform_misfit,Waveform misfit,completed,False,3178.866943359375,3353.474365234375,5.206761789658012,True,100,100,5,,502.88617395889014,502.8930571526289,1015.29296875,68661.1796875,67645.88671875,False,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_003/waveform_misfit.json,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_003/waveform_misfit.npz
3,441330971,oracle,Oracle model error,completed,False,2672.4462890625,3353.474365234375,20.30813425121494,True,100,100,5,,478.56096633244306,478.5677613085136,1102.07421875,66897.15234375,65795.078125,False,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_003/oracle.json,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_003/oracle.npz
4,3996846613,baseline,Fixed receiver layout,completed,False,3386.572265625,3386.572265625,0.0,False,100,100,0,165.03715037927032,0.0,165.48883334826678,1117.91796875,2347.97265625,1230.0546875,False,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_004/baseline.json,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_004/baseline.npz
4,3996846613,illumination,Stochastic illumination,completed,False,2396.970458984375,3386.572265625,29.221340311720517,True,100,100,5,168.77932217344642,183.7112876456231,356.900481056422,1118.87109375,11103.52734375,9984.65625,False,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_004/illumination.json,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_004/illumination.npz
4,3996846613,waveform_misfit,Waveform misfit,completed,False,3042.4892578125,3386.572265625,10.160214542151477,True,100,100,5,,503.4225272135809,503.42914501205087,1133.76171875,68781.6796875,67647.91796875,False,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_004/waveform_misfit.json,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_004/waveform_misfit.npz
4,3996846613,oracle,Oracle model error,completed,False,3001.914794921875,3386.572265625,11.358312787461973,True,100,100,5,,477.91795013844967,477.9243582319468,1222.58984375,67016.7734375,65794.18359375,False,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_004/oracle.json,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_004/oracle.npz
5,723256431,baseline,Fixed receiver layout,completed,False,3287.058837890625,3287.058837890625,0.0,False,100,100,0,166.34262418560684,0.0,167.95453494787216,279.0703125,1660.921875,1381.8515625,True,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_005/baseline.json,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_005/baseline.npz
5,723256431,illumination,Stochastic illumination,completed,False,2794.26904296875,3287.058837890625,14.991815456461637,True,100,100,5,169.31068839225918,182.99811283592135,357.3459551529959,431.84375,10553.0703125,10121.2265625,True,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_005/illumination.json,/home/merciera/git/Hybrid-OED/oed_multiseed_full_autodiff_results/scientific/repetition_005/illumination.npz
